nick,texts,vertex_type
IXAIzwWVauwGI7P,IXAIzwWVauwGI7P.yaml,person
oliahanaglaa,oliahanaglaa.yaml,person
IrinaPvlv,IrinaPvlv.yaml,person
indecentKurt,indecentKurt.yaml,person
_ketsona_,_ketsona_.yaml,person
taxi27414,taxi27414.yaml,person
slaan1,slaan1.yaml,person
NordDilCom,NordDilCom.yaml,person
vega4060,vega4060.yaml,person
yulias18639348,yulias18639348.yaml,person
eVDvfAfIRSISDe4,eVDvfAfIRSISDe4.yaml,person
Andrej56676296,Andrej56676296.yaml,person
ZWZoNCY3IaP8MwD,ZWZoNCY3IaP8MwD.yaml,person
Scaurus9,Scaurus9.yaml,person
Upravdom_Dima,Upravdom_Dima.yaml,person
bullxead,bullxead.yaml,person
KT_ROMA,KT_ROMA.yaml,person
kamila_v11,kamila_v11.yaml,person
kotsinger,kotsinger.yaml,person
Andrey56015363,Andrey56015363.yaml,person
MrMaaay,MrMaaay.yaml,person
LenskajaLyubov,LenskajaLyubov.yaml,person
perfileva,perfileva.yaml,person
awsom73457408,awsom73457408.yaml,person
G99sNBMklKlCB4v,G99sNBMklKlCB4v.yaml,person
GRfnNsLZRLuY6TJ,GRfnNsLZRLuY6TJ.yaml,person
ulicasvobody14,ulicasvobody14.yaml,person
Shelegnina,Shelegnina.yaml,person
c5sjN0hOFSiSRJG,c5sjN0hOFSiSRJG.yaml,person
haw7qRFvWqY5ZT3,haw7qRFvWqY5ZT3.yaml,person
50valdar,50valdar.yaml,person
AlexeySapelkin,AlexeySapelkin.yaml,person
hrama2,hrama2.yaml,person
8qJ0R69usEaKnZS,8qJ0R69usEaKnZS.yaml,person
bel30075gmailc1,bel30075gmailc1.yaml,person
GALINAUSTINOVA,GALINAUSTINOVA.yaml,person
manefestant,manefestant.yaml,person
Kapusta_LV92,Kapusta_LV92.yaml,person
bondyreva66,bondyreva66.yaml,person
SanyaBulbul,SanyaBulbul.yaml,person
