ID1,ID2,friends_count,link_orient,link_type
203861508,8022897,12,3,mutual_friends
203861508,50208185,22,3,mutual_friends
203861508,51260604,29,3,mutual_friends
203861508,66622059,18,3,mutual_friends
203861508,81654841,27,3,mutual_friends
203861508,81961974,28,3,mutual_friends
203861508,91549183,23,3,mutual_friends
203861508,144208680,0,3,mutual_friends
203861508,155954884,29,3,mutual_friends
203861508,178188278,23,3,mutual_friends
203861508,211805287,3,3,mutual_friends
203861508,223859716,27,3,mutual_friends
203861508,235585681,31,3,mutual_friends
203861508,308429492,,1,wall_like
203861508,530664327,,1,photo_like
203861508,103517934,6,3,mutual_friends
203861508,153032326,21,3,mutual_friends
203861508,211805287,3,3,mutual_friends
203861508,223859716,27,3,mutual_friends
203861508,530664327,,1,photo_like
203861508,8022897,12,3,mutual_friends
203861508,20894088,13,3,mutual_friends
203861508,25396839,0,3,mutual_friends
203861508,34487532,,1,photo_like
203861508,40036094,22,3,mutual_friends
203861508,50208185,22,3,mutual_friends
203861508,51260604,29,3,mutual_friends
203861508,62714334,0,3,mutual_friends
203861508,66622059,18,3,mutual_friends
203861508,71492661,13,3,mutual_friends
203861508,71854909,25,3,mutual_friends
203861508,74824519,19,3,mutual_friends
203861508,81654841,27,3,mutual_friends
203861508,91549183,23,3,mutual_friends
203861508,94727601,6,3,mutual_friends
203861508,96047775,17,3,mutual_friends
203861508,103517934,6,3,mutual_friends
203861508,155954884,29,3,mutual_friends
203861508,179741698,,1,photo_like
203861508,186213288,21,3,mutual_friends
203861508,211805287,3,3,mutual_friends
203861508,219709166,0,3,mutual_friends
203861508,223859716,27,3,mutual_friends
203861508,235585681,31,3,mutual_friends
203861508,345195838,,1,photo_like
203861508,353556263,0,3,mutual_friends
203861508,353932078,,1,photo_like
203861508,424251100,0,3,mutual_friends
203861508,424263272,0,3,mutual_friends
203861508,472628910,,1,photo_like
203861508,530664327,,1,photo_like
203861508,8022897,12,3,mutual_friends
203861508,20894088,13,3,mutual_friends
203861508,25530494,3,3,mutual_friends
203861508,30573150,12,3,mutual_friends
203861508,36788910,0,3,mutual_friends
203861508,38969825,17,3,mutual_friends
203861508,42502081,,1,photo_like
203861508,45146011,0,3,mutual_friends
203861508,50208185,22,3,mutual_friends
203861508,51260604,29,3,mutual_friends
203861508,66622059,18,3,mutual_friends
203861508,71492661,13,3,mutual_friends
203861508,88158261,19,3,mutual_friends
203861508,96047775,17,3,mutual_friends
203861508,100609777,0,3,mutual_friends
203861508,107704121,18,3,mutual_friends
203861508,112681823,29,3,mutual_friends
203861508,122621302,15,3,mutual_friends
203861508,150625457,,1,photo_like
203861508,155954884,29,3,mutual_friends
203861508,170435450,,1,photo_like
203861508,179741698,,1,photo_like
203861508,211805287,3,3,mutual_friends
203861508,223859716,27,3,mutual_friends
203861508,228292485,,1,photo_like
203861508,235585681,31,3,mutual_friends
203861508,261310889,,1,photo_like
203861508,261728417,,1,photo_like
203861508,299845270,,1,photo_like
203861508,327123672,0,3,mutual_friends
203861508,337925328,0,3,mutual_friends
203861508,345195838,,1,photo_like
203861508,367918500,0,3,mutual_friends
203861508,399902736,,1,photo_like
203861508,405054023,,1,photo_like
203861508,407866797,0,3,mutual_friends
203861508,409082558,,1,photo_like
203861508,410735083,,1,photo_like
203861508,412059595,,1,photo_like
203861508,421098862,0,3,mutual_friends
203861508,421869169,0,3,mutual_friends
203861508,427657195,,1,photo_like
203861508,427660430,,1,photo_like
203861508,430610923,0,3,mutual_friends
203861508,430621089,0,3,mutual_friends
203861508,431297667,0,3,mutual_friends
203861508,437366368,,1,photo_like
203861508,444957734,,1,photo_like
203861508,530664327,,1,photo_like
203861508,103517934,6,3,mutual_friends
203861508,105157320,,1,wall_like
203861508,156205273,3,3,mutual_friends
203861508,211805287,3,3,mutual_friends
203861508,283018809,,1,wall_like
203861508,299291880,,1,wall_like
203861508,322161245,,1,wall_like
203861508,419931180,0,3,mutual_friends
203861508,211805287,3,3,mutual_friends
203861508,4556919,,1,wall_like
203861508,5428301,0,3,mutual_friends
203861508,30416094,,1,wall_like
203861508,35399890,16,3,mutual_friends
203861508,38289981,,1,wall_like
203861508,43756737,0,3,mutual_friends
203861508,51260604,29,3,mutual_friends
203861508,56880145,,1,wall_like
203861508,66622059,18,3,mutual_friends
203861508,70745244,1,3,mutual_friends
203861508,70936075,2,3,mutual_friends
203861508,74242806,0,3,mutual_friends
203861508,76663132,,1,wall_like
203861508,82145432,,1,wall_like
203861508,83430111,11,3,mutual_friends
203861508,88158261,19,3,mutual_friends
203861508,93608215,20,3,mutual_friends
203861508,96047775,17,3,mutual_friends
203861508,105157320,,1,wall_like
203861508,107704121,18,3,mutual_friends
203861508,109263038,0,3,mutual_friends
203861508,123092715,17,3,mutual_friends
203861508,128715497,,1,wall_like
203861508,132132912,1,3,mutual_friends
203861508,137477984,15,3,mutual_friends
203861508,144208680,0,3,mutual_friends
203861508,144541164,0,3,mutual_friends
203861508,145450588,9,3,mutual_friends
203861508,150722104,0,3,mutual_friends
203861508,155954884,29,3,mutual_friends
203861508,170980272,2,3,mutual_friends
203861508,175193892,,1,wall_like
203861508,184809983,4,3,mutual_friends
203861508,199439072,0,3,mutual_friends
203861508,207762508,,1,wall_like
203861508,211805287,3,3,mutual_friends
203861508,214543747,4,3,mutual_friends
203861508,230044964,,1,wall_like
203861508,231448296,0,3,mutual_friends
203861508,239562650,1,3,mutual_friends
203861508,251369402,,1,wall_like
203861508,251415987,,1,wall_like
203861508,252385565,,1,wall_like
203861508,254257090,10,3,mutual_friends
203861508,273084067,,1,wall_like
203861508,287067994,,1,wall_like
203861508,298170220,,1,wall_like
203861508,298846820,,1,wall_like
203861508,310484462,,1,wall_like
203861508,310584980,,1,wall_like
203861508,323896376,,1,wall_like
203861508,328328772,,1,wall_like
203861508,330987689,,1,wall_like
203861508,332451108,0,3,mutual_friends
203861508,336181314,,1,wall_like
203861508,337512635,,1,wall_like
203861508,337567596,,1,wall_like
203861508,343381961,,1,wall_like
203861508,343641022,,1,wall_like
203861508,345692145,,1,wall_like
203861508,345918800,,1,wall_like
203861508,350844239,0,3,mutual_friends
203861508,357364959,,1,wall_like
203861508,357574660,0,3,mutual_friends
203861508,359501059,0,3,mutual_friends
203861508,359770863,0,3,mutual_friends
203861508,362119832,0,3,mutual_friends
203861508,368168997,,1,wall_like
203861508,378549570,,1,wall_like
203861508,391329165,,1,wall_like
203861508,472628910,,1,photo_like
203861508,517890135,,1,wall_like
203861508,8022897,12,3,mutual_friends
203861508,20894088,13,3,mutual_friends
203861508,25396839,0,3,mutual_friends
203861508,34487532,,1,photo_like
203861508,40036094,22,3,mutual_friends
203861508,50208185,22,3,mutual_friends
203861508,51260604,29,3,mutual_friends
203861508,62714334,0,3,mutual_friends
203861508,66622059,18,3,mutual_friends
203861508,71492661,13,3,mutual_friends
203861508,71854909,25,3,mutual_friends
203861508,74824519,19,3,mutual_friends
203861508,81654841,27,3,mutual_friends
203861508,91549183,23,3,mutual_friends
203861508,94727601,6,3,mutual_friends
203861508,96047775,17,3,mutual_friends
203861508,103517934,6,3,mutual_friends
203861508,155954884,29,3,mutual_friends
203861508,179741698,,1,photo_like
203861508,186213288,21,3,mutual_friends
203861508,211805287,3,3,mutual_friends
203861508,219709166,0,3,mutual_friends
203861508,223859716,27,3,mutual_friends
203861508,235585681,31,3,mutual_friends
203861508,345195838,,1,photo_like
203861508,353556263,0,3,mutual_friends
203861508,353932078,,1,photo_like
203861508,424251100,0,3,mutual_friends
203861508,424263272,0,3,mutual_friends
203861508,472628910,,1,photo_like
203861508,530664327,,1,photo_like
203861508,8022897,12,3,mutual_friends
203861508,20894088,13,3,mutual_friends
203861508,25530494,3,3,mutual_friends
203861508,30573150,12,3,mutual_friends
203861508,36788910,0,3,mutual_friends
203861508,38969825,17,3,mutual_friends
203861508,42502081,,1,photo_like
203861508,45146011,0,3,mutual_friends
203861508,50208185,22,3,mutual_friends
203861508,51260604,29,3,mutual_friends
203861508,66622059,18,3,mutual_friends
203861508,71492661,13,3,mutual_friends
203861508,88158261,19,3,mutual_friends
203861508,96047775,17,3,mutual_friends
203861508,100609777,0,3,mutual_friends
203861508,107704121,18,3,mutual_friends
203861508,112681823,29,3,mutual_friends
203861508,122621302,15,3,mutual_friends
203861508,150625457,,1,photo_like
203861508,155954884,29,3,mutual_friends
203861508,170435450,,1,photo_like
203861508,179741698,,1,photo_like
203861508,211805287,3,3,mutual_friends
203861508,223859716,27,3,mutual_friends
203861508,228292485,,1,photo_like
203861508,235585681,31,3,mutual_friends
203861508,261310889,,1,photo_like
203861508,261728417,,1,photo_like
203861508,299845270,,1,photo_like
203861508,327123672,0,3,mutual_friends
203861508,337925328,0,3,mutual_friends
203861508,345195838,,1,photo_like
203861508,367918500,0,3,mutual_friends
203861508,399902736,,1,photo_like
203861508,405054023,,1,photo_like
203861508,407866797,0,3,mutual_friends
203861508,409082558,,1,photo_like
203861508,410735083,,1,photo_like
203861508,412059595,,1,photo_like
203861508,421098862,0,3,mutual_friends
203861508,421869169,0,3,mutual_friends
203861508,427657195,,1,photo_like
203861508,427660430,,1,photo_like
203861508,430610923,0,3,mutual_friends
203861508,430621089,0,3,mutual_friends
203861508,431297667,0,3,mutual_friends
203861508,437366368,,1,photo_like
203861508,444957734,,1,photo_like
203861508,530664327,,1,photo_like
203861508,460389,,0,in_community
203861508,8814453,,0,in_community
203861508,11283947,,0,in_community
203861508,17655824,,0,in_community
203861508,20629724,,0,in_community
203861508,22231730,,0,in_community
203861508,22746750,,0,in_community
203861508,25346844,,0,in_community
203861508,25752703,,0,in_community
203861508,26217154,,0,in_community
203861508,26307864,,0,in_community
203861508,29534144,,0,in_community
203861508,29832607,,0,in_community
203861508,30022666,,0,in_community
203861508,30147556,,0,in_community
203861508,30598666,,0,in_community
203861508,30666517,,0,in_community
203861508,31038184,,0,in_community
203861508,31076033,,0,in_community
203861508,31480508,,0,in_community
203861508,31969346,,0,in_community
203861508,31976785,,0,in_community
203861508,33291029,,0,in_community
203861508,33414947,,0,in_community
203861508,33496713,,0,in_community
203861508,34215577,,0,in_community
203861508,34298047,,0,in_community
203861508,34459228,,0,in_community
203861508,35145657,,0,in_community
203861508,37119411,,0,in_community
203861508,37586613,,0,in_community
203861508,39153701,,0,in_community
203861508,39321576,,0,in_community
203861508,40546932,,0,in_community
203861508,41208167,,0,in_community
203861508,42296923,,0,in_community
203861508,43978738,,0,in_community
203861508,44554509,,0,in_community
203861508,46453123,,0,in_community
203861508,47433299,,0,in_community
203861508,47597391,,0,in_community
203861508,49439086,,0,in_community
203861508,50670682,,0,in_community
203861508,53261322,,0,in_community
203861508,54530371,,0,in_community
203861508,56106344,,0,in_community
203861508,57354358,,0,in_community
203861508,59570143,,0,in_community
203861508,61516226,,0,in_community
203861508,61616999,,0,in_community
203861508,61817535,,0,in_community
203861508,63337812,,0,in_community
