ID1,ID2,link_type,vertex_from,weight
astradinaTT,mkacapov,link,,1
astradinaTT,Vityzeva,link,,2
astradinaTT,RevonenkoSOphie,link,,1
Mmarek,GRfnNsLZRLuY6TJ,link,,2
Mmarek,AnNA_Kon_da2020,link,,2
Mmarek,AnnaEdwardovna,link,,6
Mmarek,ProshlgdnLmonat,link,,2
Mmarek,aarakelyaan,link,,1
Mmarek,Moscow_Zentr_77,link,,4
jiaHOuwLPM1MYJx,GrebSG,link,,1
jiaHOuwLPM1MYJx,marinochka_San_,link,,1
jiaHOuwLPM1MYJx,istafrina,link,,1
jiaHOuwLPM1MYJx,garryc29rus,link,,1
jiaHOuwLPM1MYJx,KoroMonika,link,,2
jiaHOuwLPM1MYJx,Vityzeva,link,,1
djerman_sblef,dorian_deep,link,,3
djerman_sblef,gfhifrjdf1985,link,,4
djerman_sblef,G99sNBMklKlCB4v,link,,3
djerman_sblef,Kryladze,link,,3
djerman_sblef,Zuchtchausler,link,,6
djerman_sblef,LikeFine,link,,3
djerman_sblef,who1917,link,,3
djerman_sblef,trumpunkt,link,,3
djerman_sblef,LivePutin,link,,3
djerman_sblef,Kapitanova_Yana,link,,3
djerman_sblef,8aq6bMTHdrd3RWn,link,,3
djerman_sblef,Fniek,link,,3
qwsreJUgcpPQtIn,MrMaaay,link,,3
tvn2884,v_tretyakov,link,,3
tvn2884,Vityzeva,link,,3
NTashaair,porzellan2013,link,,1
romalistika,Slide_Famous,link,,1
romalistika,v_tretyakov,link,,1
romalistika,RemiJMI,link,,3
romalistika,westrip4,link,,3
romalistika,VsevolodVitkov1,link,,4
Petrovich_Mos,pograncazhena,link,,2
Petrovich_Mos,valeru_k,link,,1
Petrovich_Mos,alekseevarn,link,,4
Petrovich_Mos,Andrey56015363,link,,1
Petrovich_Mos,paleshuk_bolota,link,,1
Petrovich_Mos,Andreyluc812,link,,1
Petrovich_Mos,Serqei161rus,link,,1
Petrovich_Mos,v_tretyakov,link,,3
Petrovich_Mos,Maqdalina,link,,2
Petrovich_Mos,lexverum,link,,1
Petrovich_Mos,kozache_ssmid,link,,2
Petrovich_Mos,aarakelyaan,link,,1
Petrovich_Mos,YwY83fMtPgTRi9D,link,,1
Petrovich_Mos,garryc29rus,link,,1
Petrovich_Mos,irina52step,link,,2
Petrovich_Mos,Michael_G_83,link,,1
Petrovich_Mos,Bettejane_,link,,1
Petrovich_Mos,Sedoffsky_spb,link,,1
Petrovich_Mos,Q8meiD68whHi6OT,link,,1
Petrovich_Mos,TBAPb007,link,,2
SteelAN18,v_tretyakov,link,,2
SteelAN18,Lalalupsja,link,,1
SteelAN18,ProshlgdnLmonat,link,,3
SteelAN18,Vityzeva,link,,3
St91521478,ybudyan,link,,3
St91521478,MrMaaay,link,,4
St91521478,rushen1960,link,,1
shubkinar,i_sputnov2020,link,,1
shubkinar,GruzdevO,link,,2
IvanoffAvanes,MrMaaay,link,,5
IvanoffAvanes,VADIM03051,link,,3
IvanoffAvanes,LikeFine,link,,3
IvanoffAvanes,matmamont,link,,3
nalimchik,curly___mary,link,,2
nalimchik,ltkh44,link,,3
ChernobayMariy,dorian_deep,link,,1
ChernobayMariy,artemprotiv,link,,2
ChernobayMariy,GruzdevO,link,,3
ChernobayMariy,rushen1960,link,,1
ChernobayMariy,letov_2013,link,,2
ChernobayMariy,ElenaKreische,link,,2
ChernobayMariy,54Betti,link,,2
ChernobayMariy,lucia_morena7,link,,1
ChernobayMariy,v_tretyakov,link,,4
ChernobayMariy,Maqdalina,link,,1
ChernobayMariy,aarakelyaan,link,,2
ChernobayMariy,yuroskolskiy,link,,3
ChernobayMariy,TGpavlova,link,,1
ChernobayMariy,antoninianton,link,,4
kaskadas,MrMaaay,link,,1
kaskadas,rushen1960,link,,2
kaskadas,lentaruofficial,link,,4
kaskadas,letov_2013,link,,4
kaskadas,ElenaKreische,link,,1
kaskadas,Avgystinka,link,,2
W6OI9tC8qylBhT3,v_tretyakov,link,,1
KatushaJust,AngeliKazacova,link,,2
Stalinyst,v_tretyakov,link,,3
Stalinyst,marinochka_San_,link,,3
Stalinyst,Vityzeva,link,,3
TyuminYurii,sympel077,link,,3
TyuminYurii,AnnaPhoenix9,link,,3
TyuminYurii,8pm9hVBQz3awxcj,link,,3
TyuminYurii,versl9,link,,3
TyuminYurii,omayGodSanya,link,,3
TyuminYurii,WAnnaYa7,link,,3
TyuminYurii,iwazumichan,link,,3
TyuminYurii,8aq6bMTHdrd3RWn,link,,3
alexey_eyrikh,v_tretyakov,link,,7
zoenka12,MrMaaay,link,,4
valeru_k,Petrovich_Mos,link,,1
vedmidek,Vityzeva,link,,7
EndorpheenRus,dorian_deep,link,,1
EndorpheenRus,proarm1975,link,,1
EndorpheenRus,lucia_morena7,link,,1
EndorpheenRus,yuroskolskiy,link,,4
lKtZc4Hs7VrI8hX,v_tretyakov,link,,6
lKtZc4Hs7VrI8hX,Vityzeva,link,,1
artemprotiv,AndreyNiagara62,link,,1
artemprotiv,ChernobayMariy,link,,2
artemprotiv,Art09355711,link,,2
artemprotiv,MrMaaay,link,,1
artemprotiv,amitana57,link,,1
artemprotiv,ProshlgdnLmonat,link,,4
artemprotiv,aarakelyaan,link,,2
artemprotiv,bad_rzn,link,,2
artemprotiv,uncleGreK,link,,1
artemprotiv,Sergey0507,link,,1
NataliKurdina,rbn197516,link,,3
NataliKurdina,GG_TOV,link,,3
NataliKurdina,Master70410861,link,,3
rbn197516,NataliKurdina,link,,3
rbn197516,GRfnNsLZRLuY6TJ,link,,4
rbn197516,WaveJuliablack,link,,3
rbn197516,07_Sonia,link,,3
rbn197516,Protasova1,link,,3
rbn197516,ProhozhiyR,link,,3
rbn197516,people__idiots,link,,3
rbn197516,Anna2011Super,link,,3
rbn197516,8aq6bMTHdrd3RWn,link,,3
rbn197516,Fniek,link,,3
Alex01219608,astradinaTT,link,,1
Alex01219608,aarakelyaan,link,,1
Alex01219608,JarritaLT,link,,1
lenaorexova,v_tretyakov,link,,2
lenaorexova,marinochka_San_,link,,1
lenaorexova,Vasin1978,link,,1
kerrythriller,MusicTabletsss,link,,3
kerrythriller,YaVamDimon,link,,4
gfhifrjdf1985,djerman_sblef,link,,4
gfhifrjdf1985,MrMaaay,link,,1
gfhifrjdf1985,porzellan2013,link,,1
gfhifrjdf1985,rktMeiauJmUfL1a,link,,3
gfhifrjdf1985,RemiJMI,link,,3
gfhifrjdf1985,Olegkostin13,link,,3
p01435,v_tretyakov,link,,4
IgorLounev,ksondarianka,link,,3
udinskiia61,avtosamara,link,,4
2Nonane,kotsinger,link,,3
2Nonane,MrMaaay,link,,1
2Nonane,rushen1960,link,,4
2Nonane,07_Sonia,link,,3
2Nonane,ferrationdoor,link,,3
2Nonane,Oskianocner,link,,2
2Nonane,predfm,link,,2
2Nonane,Latife39285760,link,,3
2Nonane,8aq6bMTHdrd3RWn,link,,3
2Nonane,Huawei99871513,link,,1
anna18891080,Olegkostin13,link,,3
clopitalks,Olegkostin13,link,,3
wasilyw00,lentaruofficial,link,,1
wasilyw00,v_tretyakov,link,,1
zosya_zosya,AndreyNiagara62,link,,1
zosya_zosya,Natasha_shinai,link,,3
zosya_zosya,trucker228,link,,1
Marina84415709,v_tretyakov,link,,7
alekseevarn,pograncazhena,link,,2
alekseevarn,Petrovich_Mos,link,,4
alekseevarn,voin1980rus92,link,,2
alekseevarn,Serqei161rus,link,,2
