channel_name,texts,vertex_type
infernal_money,infernal_money.yaml,channel
infocus_live,infocus_live.yaml,channel
greenserpent,greenserpent.yaml,channel
poimenno,poimenno.yaml,channel
cinemarticle,cinemarticle.yaml,channel
governmentru,governmentru.yaml,channel
izvestia,izvestia.yaml,channel
whitehousecards,whitehousecards.yaml,channel
oddr_news,oddr_news.yaml,channel
d_o_b_r_o_r_u,d_o_b_r_o_r_u.yaml,channel
n_translab,n_translab.yaml,channel
plugonews,plugonews.yaml,channel
kp_volgograd,kp_volgograd.yaml,channel
klymenkotime,klymenkotime.yaml,channel
politburodc,politburodc.yaml,channel
politburo2,politburo2.yaml,channel
zakharprilepin,zakharprilepin.yaml,channel
mospolymedia,mospolymedia.yaml,channel
mueslilavrova,mueslilavrova.yaml,channel
angry_opposum,angry_opposum.yaml,channel
sladkov_plus,sladkov_plus.yaml,channel
eduvtatarstan,eduvtatarstan.yaml,channel
mig41,mig41.yaml,channel
fiztehscience,fiztehscience.yaml,channel
vestiru24,vestiru24.yaml,channel
rogatkinlive,rogatkinlive.yaml,channel
maelgontv,maelgontv.yaml,channel
indicator_news,indicator_news.yaml,channel
komileaks,komileaks.yaml,channel
houseofcardseurope,houseofcardseurope.yaml,channel
postovo,postovo.yaml,channel
agendarussia,agendarussia.yaml,channel
stranaua,stranaua.yaml,channel
yakemenko,yakemenko.yaml,channel
asi_ru,asi_ru.yaml,channel
u_tomsk_u,u_tomsk_u.yaml,channel
rotondamedia,rotondamedia.yaml,channel
minpunch,minpunch.yaml,channel
epoddubny,epoddubny.yaml,channel
basket_sportsru,basket_sportsru.yaml,channel
lentadna,lentadna.yaml,channel
kavtoday,kavtoday.yaml,channel
kothueplet,kothueplet.yaml,channel
msimonyan,msimonyan.yaml,channel
krasovkin,krasovkin.yaml,channel
atn_btrc,atn_btrc.yaml,channel
milinfolive,milinfolive.yaml,channel
sncmag,sncmag.yaml,channel
vv_volodin,vv_volodin.yaml,channel
rentv_news,rentv_news.yaml,channel
rgrunews,rgrunews.yaml,channel
theengchan,theengchan.yaml,channel
naukauniver,naukauniver.yaml,channel
bezrec,bezrec.yaml,channel
seriesman,seriesman.yaml,channel
dtlive,dtlive.yaml,channel
novaya_pishet,novaya_pishet.yaml,channel
belarusimir,belarusimir.yaml,channel
kino_teatrru,kino_teatrru.yaml,channel
rbc_news,rbc_news.yaml,channel
premni,premni.yaml,channel
olegtsarov,olegtsarov.yaml,channel
khazinml,khazinml.yaml,channel
xfedorova,xfedorova.yaml,channel
kremlininfo,kremlininfo.yaml,channel
showgraphic,showgraphic.yaml,channel
salagai,salagai.yaml,channel
sergeykolyasnikov,sergeykolyasnikov.yaml,channel
so_ups_official,so_ups_official.yaml,channel
beckmoney,beckmoney.yaml,channel
militarymaps,militarymaps.yaml,channel
kommersant,kommersant.yaml,channel
focusmediasakhgu,focusmediasakhgu.yaml,channel
kuz_plus,kuz_plus.yaml,channel
pressamod72,pressamod72.yaml,channel
ai_newz,ai_newz.yaml,channel
infomoscow24,infomoscow24.yaml,channel
eugenejut,eugenejut.yaml,channel
block_ru,block_ru.yaml,channel
grishkafilippov,grishkafilippov.yaml,channel
zhabaigaduka,zhabaigaduka.yaml,channel
koronavirus_saratov,koronavirus_saratov.yaml,channel
piterliks,piterliks.yaml,channel
houseofcardsrussia,houseofcardsrussia.yaml,channel
newsfrontnotes,newsfrontnotes.yaml,channel
smotri_media,smotri_media.yaml,channel
meft_info,meft_info.yaml,channel
vestifmplus,vestifmplus.yaml,channel
rlz_the_kraken,rlz_the_kraken.yaml,channel
politanimalss,politanimalss.yaml,channel
banksta,banksta.yaml,channel
belta_telegramm,belta_telegramm.yaml,channel
